iter    | category           | len  | shepOk | shaOk | shepOnes | shaOnes | shepEnt | shaEnt | shepRuns | shaRuns | shepHam  | shaHam  | shepPosU  | shaPosU  | shepGlobU  | shaGlobU  | shepFinal | shaFinal | better 
23200   | unicode20000       | 26   | 23200  | 23200 | 49.99    | 49.99   | 1.000   | 1.000  | 0.8956   | 0.9731  | 127.95   | 127.96  | 98.96     | 98.91    | 99.86      | 99.88     | 98.86     | 97.56    | SHEP32 
23300   | unicode50000       | 45   | 23300  | 23300 | 49.99    | 49.99   | 1.000   | 1.000  | 0.9786   | 0.9529  | 127.94   | 127.96  | 98.96     | 98.92    | 99.86      | 99.88     | 97.87     | 98.34    | SHA256 
23400   | unicode5000        | 61   | 23400  | 23400 | 49.99    | 49.99   | 1.000   | 1.000  | 0.9389   | 0.9298  | 127.95   | 127.96  | 98.96     | 98.92    | 99.86      | 99.88     | 98.14     | 98.29    | SHA256 
23500   | unicode500000      | 41   | 23500  | 23500 | 49.99    | 49.98   | 1.000   | 1.000  | 0.8860   | 0.9371  | 127.94   | 127.96  | 98.97     | 98.92    | 99.86      | 99.88     | 98.71     | 97.87    | SHEP32 
23600   | unicode50000       | 64   | 23600  | 23600 | 49.99    | 49.98   | 1.000   | 1.000  | 0.9456   | 0.9289  | 127.94   | 127.96  | 98.97     | 98.91    | 99.86      | 99.89     | 98.06     | 98.35    | SHA256 
23700   | unicode500000      | 39   | 23700  | 23700 | 49.99    | 49.98   | 1.000   | 1.000  | 0.9025   | 0.9310  | 127.94   | 127.96  | 98.97     | 98.92    | 99.86      | 99.89     | 98.51     | 98.04    | SHEP32 
23800   | unicode40000       | 90   | 23800  | 23800 | 49.99    | 49.98   | 1.000   | 1.000  | 0.9368   | 0.9357  | 127.93   | 127.96  | 98.97     | 98.92    | 99.87      | 99.89     | 98.20     | 98.22    | SHA256 
23900   | unicode10000       | 88   | 23900  | 23900 | 49.99    | 49.98   | 1.000   | 1.000  | 0.8857   | 0.8389  | 127.93   | 127.96  | 98.97     | 98.93    | 99.87      | 99.88     | 98.11     | 98.77    | SHA256 
24000   | unicode80000       | 84   | 24000  | 24000 | 49.99    | 49.98   | 1.000   | 1.000  | 0.9268   | 0.7780  | 127.93   | 127.96  | 98.97     | 98.93    | 99.87      | 99.88     | 97.48     | 99.42    | SHA256 
24100   | unicode300000      | 56   | 24100  | 24100 | 49.99    | 49.98   | 1.000   | 1.000  | 0.9648   | 0.7834  | 127.93   | 127.96  | 98.97     | 98.93    | 99.87      | 99.88     | 97.18     | 99.50    | SHA256 
24200   | a-zA-Z0-9          | 14   | 24200  | 24200 | 49.99    | 49.98   | 1.000   | 1.000  | 0.9730   | 0.8161  | 127.93   | 127.95  | 98.98     | 98.93    | 99.88      | 99.88     | 97.21     | 99.44    | SHA256 
24300   | unicode100         | 93   | 24300  | 24300 | 49.99    | 49.98   | 1.000   | 1.000  | 0.9840   | 0.7899  | 127.93   | 127.96  | 98.97     | 98.94    | 99.88      | 99.88     | 97.03     | 99.50    | SHA256 
24400   | a-zA-Z0-9          | 38   | 24400  | 24400 | 49.99    | 49.98   | 1.000   | 1.000  | 0.9707   | 0.7767  | 127.94   | 127.96  | 98.97     | 98.94    | 99.89      | 99.88     | 97.11     | 99.50    | SHA256 
24500   | unicode500         | 51   | 24500  | 24500 | 49.99    | 49.98   | 1.000   | 1.000  | 0.9936   | 0.7827  | 127.94   | 127.97  | 98.97     | 98.94    | 99.89      | 99.89     | 96.94     | 99.50    | SHA256 
24600   | unicode100         | 19   | 24600  | 24600 | 49.99    | 49.98   | 1.000   | 1.000  | 0.9873   | 0.8688  | 127.94   | 127.97  | 98.98     | 98.95    | 99.89      | 99.89     | 97.28     | 99.16    | SHA256 
24700   | 0-9                | 56   | 24700  | 24700 | 49.99    | 49.98   | 1.000   | 1.000  | 0.9886   | 0.8848  | 127.94   | 127.97  | 98.98     | 98.94    | 99.89      | 99.89     | 97.35     | 99.05    | SHA256 
24800   | unicode90000       | 57   | 24800  | 24800 | 50.00    | 49.98   | 1.000   | 1.000  | 0.9633   | 0.8650  | 127.94   | 127.97  | 98.98     | 98.94    | 99.89      | 99.89     | 97.50     | 99.05    | SHA256 
24900   | unicode2000        | 84   | 24900  | 24900 | 50.00    | 49.98   | 1.000   | 1.000  | 0.9130   | 0.8391  | 127.94   | 127.97  | 98.99     | 98.95    | 99.88      | 99.89     | 97.86     | 98.93    | SHA256 
25000   | unicode500000      | 40   | 25000  | 25000 | 50.00    | 49.98   | 1.000   | 1.000  | 0.8285   | 0.8531  | 127.93   | 127.97  | 98.99     | 98.95    | 99.89      | 99.90     | 98.67     | 98.33    | SHEP32 
25100   | A-Za-z             | 60   | 25100  | 25100 | 50.00    | 49.97   | 1.000   | 1.000  | 0.8846   | 0.8652  | 127.94   | 127.97  | 98.99     | 98.95    | 99.88      | 99.90     | 98.27     | 98.55    | SHA256 
25200   | unicode500         | 49   | 25200  | 25200 | 50.00    | 49.98   | 1.000   | 1.000  | 0.8848   | 0.8673  | 127.94   | 127.97  | 99.00     | 98.95    | 99.88      | 99.90     | 98.28     | 98.53    | SHA256 
25300   | unicode40000       | 96   | 25300  | 25300 | 50.00    | 49.97   | 1.000   | 1.000  | 0.8956   | 0.8399  | 127.94   | 127.97  | 99.00     | 98.96    | 99.88      | 99.90     | 98.03     | 98.82    | SHA256 
25400   | unicode300000      | 100  | 25400  | 25400 | 49.99    | 49.97   | 1.000   | 1.000  | 0.9288   | 0.8562  | 127.94   | 127.96  | 99.00     | 98.96    | 99.89      | 99.90     | 97.80     | 98.90    | SHA256 
25500   | unicode5000        | 6    | 25500  | 25500 | 49.99    | 49.97   | 1.000   | 1.000  | 0.9651   | 0.8247  | 127.95   | 127.96  | 99.01     | 98.96    | 99.89      | 99.90     | 97.31     | 99.34    | SHA256 
25600   | a-z                | 51   | 25600  | 25600 | 49.99    | 49.97   | 1.000   | 1.000  | 0.9521   | 0.8067  | 127.94   | 127.96  | 99.01     | 98.96    | 99.89      | 99.90     | 97.36     | 99.38    | SHA256 
25700   | unicode80000       | 51   | 25700  | 25700 | 49.99    | 49.98   | 1.000   | 1.000  | 0.9926   | 0.8478  | 127.95   | 127.96  | 99.01     | 98.95    | 99.89      | 99.90     | 97.15     | 99.34    | SHA256 
25800   | A-Za-z             | 26   | 25800  | 25800 | 49.99    | 49.97   | 1.000   | 1.000  | 0.9473   | 0.8689  | 127.95   | 127.95  | 99.01     | 98.95    | 99.89      | 99.90     | 97.69     | 98.91    | SHA256 
25900   | a-zA-Z0-9          | 85   | 25900  | 25900 | 49.99    | 49.97   | 1.000   | 1.000  | 0.9264   | 0.8333  | 127.95   | 127.95  | 99.02     | 98.96    | 99.89      | 99.90     | 97.71     | 99.06    | SHA256 
26000   | a-zA-Z0-9          | 87   | 26000  | 26000 | 49.99    | 49.97   | 1.000   | 1.000  | 0.8421   | 0.8173  | 127.95   | 127.95  | 99.03     | 98.96    | 99.89      | 99.89     | 98.38     | 98.69    | SHA256 
26100   | unicode500         | 24   | 26100  | 26100 | 49.99    | 49.97   | 1.000   | 1.000  | 0.8412   | 0.7587  | 127.96   | 127.95  | 99.03     | 98.95    | 99.89      | 99.89     | 98.13     | 99.08    | SHA256 
26200   | unicode500000      | 78   | 26200  | 26200 | 49.99    | 49.97   | 1.000   | 1.000  | 0.9238   | 0.6683  | 127.96   | 127.96  | 99.02     | 98.96    | 99.89      | 99.89     | 97.25     | 99.50    | SHA256 
26300   | unicode30000       | 33   | 26300  | 26300 | 49.99    | 49.97   | 1.000   | 1.000  | 0.8866   | 0.7288  | 127.96   | 127.96  | 99.03     | 98.97    | 99.89      | 99.89     | 97.66     | 99.47    | SHA256 
26400   | unicode400000      | 60   | 26400  | 26400 | 49.99    | 49.97   | 1.000   | 1.000  | 0.9247   | 0.6966  | 127.96   | 127.96  | 99.03     | 98.97    | 99.89      | 99.89     | 97.29     | 99.50    | SHA256 
26500   | unicode50000       | 70   | 26500  | 26500 | 49.99    | 49.97   | 1.000   | 1.000  | 0.9303   | 0.6584  | 127.96   | 127.96  | 99.03     | 98.97    | 99.89      | 99.89     | 97.19     | 99.50    | SHA256 
26600   | unicode500         | 55   | 26600  | 26600 | 49.99    | 49.97   | 1.000   | 1.000  | 0.9286   | 0.7880  | 127.96   | 127.96  | 99.03     | 98.98    | 99.89      | 99.89     | 97.50     | 99.37    | SHA256 
26700   | unicode500000      | 88   | 26700  | 26700 | 49.99    | 49.97   | 1.000   | 1.000  | 0.9354   | 0.8299  | 127.96   | 127.96  | 99.03     | 98.98    | 99.89      | 99.88     | 97.61     | 99.14    | SHA256 
26800   | unicode60000       | 35   | 26800  | 26800 | 49.99    | 49.97   | 1.000   | 1.000  | 0.9689   | 0.9004  | 127.96   | 127.97  | 99.03     | 98.99    | 99.89      | 99.88     | 97.64     | 98.79    | SHA256 
26900   | unicode20000       | 79   | 26900  | 26900 | 49.99    | 49.97   | 1.000   | 1.000  | 0.9921   | 0.9229  | 127.95   | 127.97  | 99.04     | 98.99    | 99.89      | 99.89     | 97.52     | 98.74    | SHA256 
27000   | A-Za-z             | 51   | 27000  | 27000 | 49.99    | 49.97   | 1.000   | 1.000  | 0.9866   | 0.9715  | 127.95   | 127.96  | 99.04     | 98.99    | 99.89      | 99.89     | 97.92     | 98.20    | SHA256 
27100   | unicode80000       | 11   | 27100  | 27100 | 49.99    | 49.97   | 1.000   | 1.000  | 0.9910   | 0.9389  | 127.95   | 127.96  | 99.04     | 98.99    | 99.89      | 99.89     | 97.64     | 98.57    | SHA256 
27200   | unicode500         | 19   | 27200  | 27200 | 49.99    | 49.97   | 1.000   | 1.000  | 0.9668   | 0.9125  | 127.95   | 127.96  | 99.05     | 99.00    | 99.89      | 99.89     | 97.74     | 98.66    | SHA256 
27300   | unicode40000       | 95   | 27300  | 27300 | 49.99    | 49.97   | 1.000   | 1.000  | 0.9993   | 0.8947  | 127.95   | 127.95  | 99.05     | 99.00    | 99.88      | 99.89     | 97.29     | 99.04    | SHA256 
27400   | 0-9                | 21   | 27400  | 27400 | 49.99    | 49.97   | 1.000   | 1.000  | 0.9854   | 0.9423  | 127.96   | 127.95  | 99.05     | 99.00    | 99.88      | 99.89     | 97.72     | 98.50    | SHA256 
27500   | unicode500000      | 69   | 27500  | 27500 | 49.99    | 49.97   | 1.000   | 1.000  | 0.9620   | 0.9898  | 127.96   | 127.95  | 99.05     | 99.01    | 99.88      | 99.89     | 98.33     | 97.80    | SHEP32 
27600   | unicode2000        | 70   | 27600  | 27600 | 49.99    | 49.97   | 1.000   | 1.000  | 0.8886   | 0.9898  | 127.96   | 127.95  | 99.05     | 99.01    | 99.87      | 99.89     | 99.03     | 97.35    | SHEP32 
27700   | a-z                | 66   | 27700  | 27700 | 49.99    | 49.97   | 1.000   | 1.000  | 0.9448   | 0.9935  | 127.96   | 127.95  | 99.06     | 99.01    | 99.87      | 99.90     | 98.54     | 97.64    | SHEP32 
27800   | unicode2000        | 54   | 27800  | 27800 | 49.99    | 49.97   | 1.000   | 1.000  | 0.9104   | 0.9558  | 127.95   | 127.95  | 99.05     | 99.01    | 99.87      | 99.89     | 98.61     | 97.83    | SHEP32 
27900   | A-Z                | 40   | 27900  | 27900 | 49.99    | 49.97   | 1.000   | 1.000  | 0.9046   | 0.9023  | 127.95   | 127.95  | 99.05     | 99.01    | 99.87      | 99.90     | 98.31     | 98.34    | SHA256 
28000   | a-zA-Z0-9          | 96   | 28000  | 28000 | 49.99    | 49.97   | 1.000   | 1.000  | 0.9440   | 0.9250  | 127.95   | 127.95  | 99.05     | 99.01    | 99.87      | 99.90     | 98.06     | 98.38    | SHA256 
28100   | unicode50000       | 13   | 28100  | 28100 | 49.99    | 49.97   | 1.000   | 1.000  | 0.9821   | 0.9887  | 127.95   | 127.95  | 99.05     | 99.01    | 99.87      | 99.90     | 98.10     | 97.97    | SHEP32 
28200   | unicode100         | 7    | 28200  | 28200 | 49.99    | 49.98   | 1.000   | 1.000  | 0.9418   | 0.9910  | 127.95   | 127.95  | 99.05     | 99.01    | 99.87      | 99.90     | 98.55     | 97.65    | SHEP32 
28300   | unicode60000       | 82   | 28300  | 28300 | 49.99    | 49.98   | 1.000   | 1.000  | 0.9159   | 0.9984  | 127.95   | 127.95  | 99.06     | 99.01    | 99.87      | 99.90     | 98.85     | 97.41    | SHEP32 
28400   | unicode90000       | 52   | 28400  | 28400 | 49.99    | 49.98   | 1.000   | 1.000  | 0.9774   | 0.9374  | 127.95   | 127.95  | 99.06     | 99.02    | 99.87      | 99.90     | 97.78     | 98.49    | SHA256 
28500   | unicode400000      | 51   | 28500  | 28500 | 49.99    | 49.98   | 1.000   | 1.000  | 0.9875   | 0.9118  | 127.95   | 127.95  | 99.06     | 99.02    | 99.87      | 99.90     | 97.51     | 98.81    | SHA256 
28600   | unicode1000        | 99   | 28600  | 28600 | 49.99    | 49.98   | 1.000   | 1.000  | 0.9865   | 0.9120  | 127.95   | 127.95  | 99.06     | 99.02    | 99.86      | 99.89     | 97.52     | 98.80    | SHA256 
28700   | unicode30000       | 49   | 28700  | 28700 | 49.99    | 49.98   | 1.000   | 1.000  | 0.9102   | 0.9267  | 127.95   | 127.95  | 99.06     | 99.02    | 99.86      | 99.89     | 98.41     | 98.13    | SHEP32 
28800   | unicode30000       | 44   | 28800  | 28800 | 49.99    | 49.98   | 1.000   | 1.000  | 0.8667   | 0.9187  | 127.95   | 127.95  | 99.07     | 99.02    | 99.86      | 99.89     | 98.76     | 97.95    | SHEP32 
28900   | A-Za-z             | 85   | 28900  | 28900 | 49.99    | 49.98   | 1.000   | 1.000  | 0.9006   | 0.8578  | 127.95   | 127.96  | 99.07     | 99.02    | 99.86      | 99.89     | 98.08     | 98.71    | SHA256 
29000   | unicode80000       | 54   | 29000  | 29000 | 49.99    | 49.98   | 1.000   | 1.000  | 0.7810   | 0.9072  | 127.95   | 127.96  | 99.07     | 99.02    | 99.86      | 99.89     | 99.31     | 97.66    | SHEP32 
29100   | a-zA-Z0-9          | 73   | 29100  | 29100 | 49.99    | 49.98   | 1.000   | 1.000  | 0.7847   | 0.9365  | 127.94   | 127.96  | 99.07     | 99.03    | 99.86      | 99.89     | 99.44     | 97.42    | SHEP32 
29200   | unicode30000       | 88   | 29200  | 29200 | 49.99    | 49.98   | 1.000   | 1.000  | 0.7969   | 0.8897  | 127.95   | 127.96  | 99.07     | 99.03    | 99.86      | 99.89     | 99.11     | 97.87    | SHEP32 
29300   | unicode2000        | 5    | 29300  | 29300 | 49.99    | 49.98   | 1.000   | 1.000  | 0.8153   | 0.9281  | 127.94   | 127.96  | 99.07     | 99.03    | 99.87      | 99.90     | 99.20     | 97.61    | SHEP32 
29400   | unicode2000        | 36   | 29400  | 29400 | 49.99    | 49.98   | 1.000   | 1.000  | 0.7606   | 0.9433  | 127.94   | 127.96  | 99.07     | 99.03    | 99.87      | 99.89     | 99.50     | 97.29    | SHEP32 
29500   | unicode1000        | 64   | 29500  | 29500 | 49.99    | 49.98   | 1.000   | 1.000  | 0.7577   | 0.9463  | 127.94   | 127.96  | 99.07     | 99.03    | 99.86      | 99.89     | 99.50     | 97.26    | SHEP32 
29600   | unicode60000       | 43   | 29600  | 29600 | 49.99    | 49.98   | 1.000   | 1.000  | 0.7753   | 0.9447  | 127.94   | 127.96  | 99.07     | 99.03    | 99.86      | 99.89     | 99.50     | 97.32    | SHEP32 
29700   | unicode60000       | 83   | 29700  | 29700 | 49.99    | 49.98   | 1.000   | 1.000  | 0.7968   | 0.9494  | 127.94   | 127.96  | 99.07     | 99.04    | 99.86      | 99.89     | 99.44     | 97.35    | SHEP32 
29800   | unicode60000       | 82   | 29800  | 29800 | 49.99    | 49.98   | 1.000   | 1.000  | 0.7380   | 0.8891  | 127.95   | 127.96  | 99.07     | 99.04    | 99.86      | 99.89     | 99.44     | 97.66    | SHEP32 
29900   | a-zA-Z0-9          | 59   | 29900  | 29900 | 49.99    | 49.98   | 1.000   | 1.000  | 0.7373   | 0.8790  | 127.95   | 127.97  | 99.08     | 99.04    | 99.87      | 99.88     | 99.40     | 97.74    | SHEP32 
30000   | unicode200000      | 96   | 30000  | 30000 | 49.99    | 49.98   | 1.000   | 1.000  | 0.7000   | 0.8356  | 127.95   | 127.97  | 99.08     | 99.04    | 99.87      | 99.88     | 99.36     | 97.97    | SHEP32 
30100   | unicode400000      | 38   | 30100  | 30100 | 49.99    | 49.98   | 1.000   | 1.000  | 0.6645   | 0.8107  | 127.95   | 127.97  | 99.08     | 99.04    | 99.87      | 99.88     | 99.39     | 98.05    | SHEP32 
30200   | a-zA-Z0-9          | 60   | 30200  | 30200 | 49.99    | 49.98   | 1.000   | 1.000  | 0.6489   | 0.7899  | 127.95   | 127.96  | 99.09     | 99.04    | 99.87      | 99.88     | 99.36     | 98.16    | SHEP32 
30300   | unicode400000      | 5    | 30300  | 30300 | 49.99    | 49.98   | 1.000   | 1.000  | 0.6977   | 0.7692  | 127.95   | 127.96  | 99.09     | 99.04    | 99.88      | 99.88     | 99.08     | 98.41    | SHEP32 
30400   | unicode100000      | 21   | 30400  | 30400 | 50.00    | 49.98   | 1.000   | 1.000  | 0.7459   | 0.7149  | 127.95   | 127.97  | 99.09     | 99.04    | 99.88      | 99.88     | 98.62     | 98.89    | SHA256 
30500   | unicode30000       | 31   | 30500  | 30500 | 50.00    | 49.98   | 1.000   | 1.000  | 0.6372   | 0.7116  | 127.95   | 127.96  | 99.09     | 99.04    | 99.88      | 99.88     | 99.10     | 98.58    | SHEP32 
30600   | unicode500         | 5    | 30600  | 30600 | 50.00    | 49.98   | 1.000   | 1.000  | 0.6593   | 0.7747  | 127.95   | 127.96  | 99.09     | 99.04    | 99.87      | 99.88     | 99.26     | 98.28    | SHEP32 
30700   | unicode100000      | 62   | 30700  | 30700 | 50.00    | 49.98   | 1.000   | 1.000  | 0.6588   | 0.8196  | 127.95   | 127.96  | 99.09     | 99.04    | 99.87      | 99.88     | 99.45     | 97.98    | SHEP32 
30800   | unicode100000      | 27   | 30800  | 30800 | 50.00    | 49.98   | 1.000   | 1.000  | 0.7159   | 0.7890  | 127.95   | 127.96  | 99.09     | 99.04    | 99.87      | 99.88     | 99.08     | 98.34    | SHEP32 
30900   | A-Za-z             | 39   | 30900  | 30900 | 50.00    | 49.98   | 1.000   | 1.000  | 0.8355   | 0.7954  | 127.94   | 127.96  | 99.09     | 99.04    | 99.87      | 99.88     | 98.33     | 98.82    | SHA256 
31000   | unicode500         | 30   | 31000  | 31000 | 50.00    | 49.98   | 1.000   | 1.000  | 0.8352   | 0.8721  | 127.94   | 127.97  | 99.09     | 99.05    | 99.87      | 99.88     | 98.73     | 98.21    | SHEP32 
31100   | unicode300000      | 66   | 31100  | 31100 | 50.00    | 49.98   | 1.000   | 1.000  | 0.8410   | 0.9026  | 127.95   | 127.97  | 99.09     | 99.05    | 99.87      | 99.88     | 98.87     | 97.97    | SHEP32 
31200   | unicode10000       | 16   | 31200  | 31200 | 50.00    | 49.98   | 1.000   | 1.000  | 0.8780   | 0.9033  | 127.94   | 127.96  | 99.09     | 99.05    | 99.87      | 99.89     | 98.56     | 98.16    | SHEP32 
31300   | unicode400000      | 31   | 31300  | 31300 | 50.00    | 49.98   | 1.000   | 1.000  | 0.8754   | 0.9012  | 127.95   | 127.96  | 99.09     | 99.05    | 99.87      | 99.89     | 98.57     | 98.17    | SHEP32 
31400   | unicode200000      | 46   | 31400  | 31400 | 50.00    | 49.98   | 1.000   | 1.000  | 0.8368   | 0.9546  | 127.95   | 127.96  | 99.09     | 99.05    | 99.87      | 99.89     | 99.21     | 97.46    | SHEP32 
31500   | unicode20000       | 33   | 31500  | 31500 | 50.00    | 49.98   | 1.000   | 1.000  | 0.8925   | 0.9026  | 127.95   | 127.96  | 99.10     | 99.05    | 99.87      | 99.89     | 98.43     | 98.26    | SHEP32 
31600   | 0-9                | 66   | 31600  | 31600 | 50.00    | 49.98   | 1.000   | 1.000  | 0.9664   | 0.9006  | 127.95   | 127.95  | 99.10     | 99.05    | 99.87      | 99.90     | 97.67     | 98.77    | SHA256 
31700   | unicode5000        | 59   | 31700  | 31700 | 50.00    | 49.98   | 1.000   | 1.000  | 0.9351   | 0.8946  | 127.95   | 127.96  | 99.10     | 99.05    | 99.87      | 99.90     | 97.96     | 98.61    | SHA256 
31800   | unicode100000      | 79   | 31800  | 31800 | 50.00    | 49.98   | 1.000   | 1.000  | 0.9771   | 0.9009  | 127.94   | 127.96  | 99.10     | 99.06    | 99.86      | 99.90     | 97.56     | 98.84    | SHA256 
31900   | unicode400000      | 74   | 31900  | 31900 | 50.00    | 49.98   | 1.000   | 1.000  | 0.9225   | 0.8761  | 127.94   | 127.96  | 99.10     | 99.06    | 99.86      | 99.90     | 97.97     | 98.69    | SHA256 
32000   | a-zA-Z0-9          | 30   | 32000  | 32000 | 50.00    | 49.98   | 1.000   | 1.000  | 0.9732   | 0.8890  | 127.94   | 127.96  | 99.10     | 99.06    | 99.86      | 99.90     | 97.53     | 98.92    | SHA256 
32100   | unicode40000       | 63   | 32100  | 32100 | 50.00    | 49.98   | 1.000   | 1.000  | 0.9627   | 0.9401  | 127.94   | 127.96  | 99.10     | 99.06    | 99.86      | 99.90     | 97.96     | 98.36    | SHA256 
32200   | unicode200000      | 41   | 32200  | 32200 | 50.00    | 49.98   | 1.000   | 1.000  | 0.9290   | 0.9203  | 127.94   | 127.96  | 99.10     | 99.06    | 99.86      | 99.90     | 98.18     | 98.32    | SHA256 
32300   | a-zA-Z0-9          | 36   | 32300  | 32300 | 50.00    | 49.98   | 1.000   | 1.000  | 0.9634   | 0.9155  | 127.94   | 127.96  | 99.11     | 99.06    | 99.86      | 99.90     | 97.79     | 98.61    | SHA256 
32400   | a-zA-Z0-9          | 8    | 32400  | 32400 | 50.00    | 49.98   | 1.000   | 1.000  | 0.8890   | 0.9168  | 127.94   | 127.96  | 99.11     | 99.06    | 99.87      | 99.90     | 98.55     | 98.10    | SHEP32 
32500   | a-zA-Z0-9          | 94   | 32500  | 32500 | 50.01    | 49.98   | 1.000   | 1.000  | 0.9530   | 0.8653  | 127.94   | 127.96  | 99.11     | 99.06    | 99.86      | 99.90     | 97.61     | 98.98    | SHA256 
32600   | a-zA-Z0-9          | 35   | 32600  | 32600 | 50.01    | 49.98   | 1.000   | 1.000  | 0.9773   | 0.8563  | 127.95   | 127.96  | 99.11     | 99.06    | 99.86      | 99.89     | 97.33     | 99.20    | SHA256 
32700   | unicode50000       | 57   | 32700  | 32700 | 50.01    | 49.98   | 1.000   | 1.000  | 0.9696   | 0.8881  | 127.95   | 127.96  | 99.11     | 99.07    | 99.87      | 99.90     | 97.56     | 98.90    | SHA256 
32800   | unicode500000      | 42   | 32800  | 32800 | 50.00    | 49.98   | 1.000   | 1.000  | 0.9603   | 0.8232  | 127.94   | 127.97  | 99.11     | 99.07    | 99.87      | 99.89     | 97.35     | 99.33    | SHA256 
32900   | unicode300000      | 77   | 32900  | 32900 | 50.00    | 49.98   | 1.000   | 1.000  | 0.9648   | 0.8096  | 127.94   | 127.97  | 99.11     | 99.06    | 99.87      | 99.89     | 97.26     | 99.44    | SHA256 
33000   | unicode5000        | 12   | 33000  | 33000 | 50.00    | 49.98   | 1.000   | 1.000  | 0.9649   | 0.8372  | 127.94   | 127.97  | 99.12     | 99.06    | 99.87      | 99.90     | 97.37     | 99.26    | SHA256 
33100   | unicode500000      | 92   | 33100  | 33100 | 50.00    | 49.98   | 1.000   | 1.000  | 0.9742   | 0.7511  | 127.94   | 127.96  | 99.11     | 99.07    | 99.87      | 99.90     | 97.02     | 99.50    | SHA256 
33200   | a-zA-Z0-9          | 25   | 33200  | 33200 | 50.00    | 49.98   | 1.000   | 1.000  | 0.9978   | 0.7808  | 127.94   | 127.96  | 99.12     | 99.07    | 99.87      | 99.89     | 96.90     | 99.50    | SHA256 
33300   | unicode500         | 75   | 33300  | 33300 | 50.00    | 49.98   | 1.000   | 1.000  | 0.9231   | 0.7633  | 127.94   | 127.96  | 99.12     | 99.07    | 99.87      | 99.89     | 97.47     | 99.48    | SHA256 
33400   | 0-9                | 40   | 33400  | 33400 | 50.00    | 49.98   | 1.000   | 1.000  | 0.9042   | 0.7387  | 127.94   | 127.96  | 99.12     | 99.07    | 99.87      | 99.89     | 97.55     | 99.50    | SHA256 
33500   | unicode500         | 64   | 33500  | 33500 | 50.00    | 49.98   | 1.000   | 1.000  | 0.9722   | 0.6786  | 127.94   | 127.96  | 99.12     | 99.07    | 99.87      | 99.89     | 96.92     | 99.50    | SHA256 
33600   | 0-9                | 95   | 33600  | 33600 | 50.00    | 49.98   | 1.000   | 1.000  | 0.9527   | 0.6721  | 127.94   | 127.96  | 99.12     | 99.07    | 99.87      | 99.89     | 97.05     | 99.50    | SHA256 
33700   | unicode100         | 5    | 33700  | 33700 | 50.00    | 49.98   | 1.000   | 1.000  | 0.9251   | 0.6500  | 127.94   | 127.96  | 99.13     | 99.07    | 99.87      | 99.89     | 97.21     | 99.50    | SHA256 
33800   | unicode70000       | 50   | 33800  | 33800 | 50.00    | 49.98   | 1.000   | 1.000  | 0.8865   | 0.6397  | 127.94   | 127.95  | 99.13     | 99.07    | 99.87      | 99.89     | 97.48     | 99.50    | SHA256 
33900   | unicode2000        | 72   | 33900  | 33900 | 50.00    | 49.98   | 1.000   | 1.000  | 0.8733   | 0.6286  | 127.94   | 127.95  | 99.13     | 99.07    | 99.87      | 99.89     | 97.55     | 99.50    | SHA256 
34000   | unicode20000       | 67   | 34000  | 34000 | 50.00    | 49.98   | 1.000   | 1.000  | 0.8553   | 0.6667  | 127.94   | 127.95  | 99.14     | 99.07    | 99.88      | 99.90     | 97.75     | 99.50    | SHA256 
34100   | unicode30000       | 16   | 34100  | 34100 | 50.00    | 49.98   | 1.000   | 1.000  | 0.8822   | 0.6426  | 127.94   | 127.95  | 99.14     | 99.07    | 99.88      | 99.89     | 97.51     | 99.50    | SHA256 
34200   | a-zA-Z0-9          | 87   | 34200  | 34200 | 50.00    | 49.98   | 1.000   | 1.000  | 0.8786   | 0.6063  | 127.94   | 127.95  | 99.14     | 99.07    | 99.88      | 99.90     | 97.49     | 99.50    | SHA256 
34300   | unicode40000       | 86   | 34300  | 34300 | 50.00    | 49.98   | 1.000   | 1.000  | 0.9215   | 0.5349  | 127.94   | 127.95  | 99.14     | 99.08    | 99.88      | 99.90     | 97.15     | 99.50    | SHA256 
34400   | unicode400000      | 85   | 34400  | 34400 | 50.00    | 49.98   | 1.000   | 1.000  | 0.8646   | 0.5023  | 127.94   | 127.95  | 99.14     | 99.08    | 99.88      | 99.90     | 97.53     | 99.50    | SHA256 
34500   | unicode400000      | 62   | 34500  | 34500 | 50.00    | 49.98   | 1.000   | 1.000  | 0.9410   | 0.5120  | 127.94   | 127.95  | 99.13     | 99.08    | 99.88      | 99.90     | 97.02     | 99.50    | SHA256 
34600   | unicode100000      | 11   | 34600  | 34600 | 50.00    | 49.99   | 1.000   | 1.000  | 0.9786   | 0.4916  | 127.94   | 127.95  | 99.14     | 99.08    | 99.88      | 99.90     | 96.80     | 99.50    | SHA256 
34700   | A-Z                | 19   | 34700  | 34700 | 50.00    | 49.99   | 1.000   | 1.000  | 0.9326   | 0.5276  | 127.94   | 127.95  | 99.14     | 99.08    | 99.88      | 99.90     | 97.08     | 99.50    | SHA256 
34800   | unicode200000      | 96   | 34800  | 34800 | 50.00    | 49.99   | 1.000   | 1.000  | 0.9711   | 0.5348  | 127.94   | 127.95  | 99.14     | 99.09    | 99.88      | 99.90     | 96.84     | 99.50    | SHA256 
