iter    | category           | len  | shepOk | shaOk | shepOnes | shaOnes | shepEnt | shaEnt | shepRuns | shaRuns | shepHam  | shaHam  | shepPosU  | shaPosU  | shepGlobU  | shaGlobU  | shepFinal | shaFinal | better 
4500    | A-Z                | 46   | 4500   | 4500  | 49.95    | 49.94   | 1.000   | 1.000  | 0.8151   | 0.3332  | 127.90   | 128.10  | 97.49     | 97.47    | 99.73      | 99.62     | 97.98     | 99.34    | SHA256 
4600    | unicode1000        | 15   | 4600   | 4600  | 49.97    | 49.93   | 1.000   | 1.000  | 0.8289   | 0.2658  | 127.87   | 128.07  | 97.52     | 97.49    | 99.76      | 99.60     | 98.08     | 99.10    | SHA256 
4700    | a-z                | 54   | 4700   | 4700  | 49.97    | 49.93   | 1.000   | 1.000  | 0.7968   | 0.2091  | 127.89   | 128.07  | 97.57     | 97.51    | 99.79      | 99.62     | 98.55     | 98.60    | SHA256 
4800    | A-Za-z             | 46   | 4800   | 4800  | 49.97    | 49.93   | 1.000   | 1.000  | 0.8087   | 0.1464  | 127.89   | 128.08  | 97.60     | 97.52    | 99.80      | 99.62     | 98.78     | 98.18    | SHEP32 
4900    | unicode60000       | 64   | 4900   | 4900  | 49.97    | 49.94   | 1.000   | 1.000  | 0.7100   | 0.2054  | 127.90   | 128.07  | 97.62     | 97.59    | 99.80      | 99.64     | 99.08     | 98.23    | SHEP32 
5000    | unicode60000       | 8    | 5000   | 5000  | 49.97    | 49.93   | 1.000   | 1.000  | 0.6531   | 0.2249  | 127.89   | 128.09  | 97.65     | 97.62    | 99.80      | 99.65     | 99.23     | 98.21    | SHEP32 
5100    | unicode400000      | 79   | 5100   | 5100  | 49.97    | 49.92   | 1.000   | 1.000  | 0.7818   | 0.2268  | 127.92   | 128.09  | 97.68     | 97.63    | 99.81      | 99.67     | 98.57     | 98.65    | SHA256 
5200    | unicode5000        | 57   | 5200   | 5200  | 49.97    | 49.92   | 1.000   | 1.000  | 0.8349   | 0.2341  | 127.94   | 128.09  | 97.71     | 97.65    | 99.82      | 99.67     | 98.16     | 98.96    | SHA256 
5300    | unicode20000       | 99   | 5300   | 5300  | 49.97    | 49.92   | 1.000   | 1.000  | 0.9149   | 0.2149  | 127.95   | 128.09  | 97.73     | 97.68    | 99.82      | 99.66     | 97.57     | 99.27    | SHA256 
5400    | unicode500000      | 59   | 5400   | 5400  | 49.98    | 49.93   | 1.000   | 1.000  | 0.8852   | 0.1711  | 127.94   | 128.08  | 97.77     | 97.71    | 99.84      | 99.67     | 98.03     | 98.80    | SHA256 
5500    | unicode300000      | 20   | 5500   | 5500  | 49.97    | 49.93   | 1.000   | 1.000  | 0.9863   | 0.1080  | 127.93   | 128.09  | 97.79     | 97.72    | 99.83      | 99.66     | 97.37     | 98.93    | SHA256 
5600    | unicode50000       | 53   | 5600   | 5600  | 49.98    | 49.94   | 1.000   | 1.000  | 0.9028   | 0.0702  | 127.90   | 128.09  | 97.79     | 97.76    | 99.83      | 99.65     | 98.46     | 98.01    | SHEP32 
5700    | A-Za-z             | 13   | 5700   | 5700  | 49.98    | 49.93   | 1.000   | 1.000  | 0.9154   | 0.0720  | 127.93   | 128.09  | 97.83     | 97.77    | 99.81      | 99.64     | 98.33     | 98.11    | SHEP32 
5800    | unicode40000       | 59   | 5800   | 5800  | 49.97    | 49.93   | 1.000   | 1.000  | 0.8979   | 0.0610  | 127.95   | 128.08  | 97.84     | 97.79    | 99.82      | 99.63     | 98.57     | 97.88    | SHEP32 
5900    | A-Z                | 6    | 5900   | 5900  | 49.98    | 49.93   | 1.000   | 1.000  | 0.9285   | 0.0505  | 127.95   | 128.07  | 97.87     | 97.82    | 99.83      | 99.64     | 98.35     | 97.97    | SHEP32 
6000    | A-Z                | 25   | 6000   | 6000  | 49.98    | 49.93   | 1.000   | 1.000  | 0.9818   | 0.0322  | 127.95   | 128.09  | 97.90     | 97.84    | 99.81      | 99.64     | 97.91     | 98.16    | SHA256 
6100    | unicode5000        | 8    | 6100   | 6100  | 49.98    | 49.93   | 1.000   | 1.000  | 0.8237   | 0.0317  | 127.93   | 128.08  | 97.92     | 97.86    | 99.80      | 99.64     | 99.34     | 97.23    | SHEP32 
6200    | unicode1000        | 12   | 6200   | 6200  | 49.97    | 49.93   | 1.000   | 1.000  | 0.8423   | 0.0279  | 127.92   | 128.09  | 97.91     | 97.89    | 99.77      | 99.64     | 99.23     | 97.27    | SHEP32 
6300    | unicode400000      | 59   | 6300   | 6300  | 49.97    | 49.93   | 1.000   | 1.000  | 0.8932   | 0.0438  | 127.92   | 128.08  | 97.93     | 97.92    | 99.77      | 99.65     | 98.73     | 97.69    | SHEP32 
6400    | unicode200000      | 28   | 6400   | 6400  | 49.97    | 49.93   | 1.000   | 1.000  | 0.9400   | 0.0342  | 127.92   | 128.08  | 97.95     | 97.93    | 99.78      | 99.66     | 98.35     | 97.88    | SHEP32 
6500    | unicode1000        | 38   | 6500   | 6500  | 49.98    | 49.93   | 1.000   | 1.000  | 0.9557   | 0.0392  | 127.91   | 128.06  | 97.95     | 97.95    | 99.79      | 99.65     | 98.14     | 98.05    | SHEP32 
6600    | unicode2000        | 30   | 6600   | 6600  | 49.97    | 49.92   | 1.000   | 1.000  | 0.9378   | 0.0307  | 127.90   | 128.06  | 97.98     | 97.95    | 99.79      | 99.65     | 98.40     | 97.83    | SHEP32 
6700    | A-Z                | 38   | 6700   | 6700  | 49.98    | 49.93   | 1.000   | 1.000  | 0.9657   | 0.0276  | 127.90   | 128.07  | 98.00     | 97.97    | 99.78      | 99.64     | 98.12     | 97.99    | SHEP32 
6800    | A-Z                | 61   | 6800   | 6800  | 49.98    | 49.93   | 1.000   | 1.000  | 0.8047   | 0.0359  | 127.89   | 128.07  | 98.02     | 97.99    | 99.79      | 99.64     | 99.43     | 97.21    | SHEP32 
6900    | unicode300000      | 42   | 6900   | 6900  | 49.98    | 49.94   | 1.000   | 1.000  | 0.9391   | 0.0457  | 127.88   | 128.07  | 98.02     | 98.01    | 99.78      | 99.65     | 98.28     | 98.00    | SHEP32 
7000    | unicode200000      | 61   | 7000   | 7000  | 49.97    | 49.94   | 1.000   | 1.000  | 0.8935   | 0.0572  | 127.89   | 128.08  | 98.06     | 98.03    | 99.79      | 99.65     | 98.64     | 97.83    | SHEP32 
7100    | a-z                | 94   | 7100   | 7100  | 49.98    | 49.95   | 1.000   | 1.000  | 0.7388   | 0.0377  | 127.89   | 128.08  | 98.07     | 98.05    | 99.80      | 99.66     | 99.50     | 97.05    | SHEP32 
7200    | A-Za-z             | 28   | 7200   | 7200  | 49.98    | 49.95   | 1.000   | 1.000  | 0.8668   | 0.0442  | 127.89   | 128.07  | 98.09     | 98.06    | 99.81      | 99.67     | 98.96     | 97.55    | SHEP32 
7300    | unicode30000       | 18   | 7300   | 7300  | 49.99    | 49.95   | 1.000   | 1.000  | 0.8116   | 0.0559  | 127.89   | 128.05  | 98.10     | 98.07    | 99.81      | 99.67     | 99.29     | 97.41    | SHEP32 
7400    | unicode100000      | 15   | 7400   | 7400  | 49.99    | 49.95   | 1.000   | 1.000  | 0.8434   | 0.0587  | 127.90   | 128.06  | 98.12     | 98.11    | 99.81      | 99.68     | 99.05     | 97.58    | SHEP32 
